from;to;distance
1808;2267;566.95
1808;1808;0.00
1808;1816;82.18
1808;1818;371.84
1808;1820;96.91
1808;1826;671.48
1808;2274;570.40
1808;1834;591.00
1808;2599;468.89
1808;2301;260.90
1808;2310;111.14
1808;2311;256.67
1808;3052;206.51
1808;2316;508.44
1808;1881;348.02
1808;1904;481.05
1808;2329;465.34
1808;3513;547.27
1808;1887;328.08
1808;1889;423.75
1808;1907;395.05
1808;1908;369.95
1808;2351;309.79
1808;2356;328.63
1808;2358;708.14
1808;1940;167.50
1808;1923;332.41
1808;2368;342.62
1808;2369;145.08
1816;2217;532.15
1816;2228;543.85
1816;1777;369.87
1816;1781;249.16
1816;1807;290.08
1816;2244;191.74
1816;1836;199.36
1816;1791;117.39
1816;2263;143.60
1816;2204;181.93
1816;2267;519.27
1816;1808;82.18
1816;1816;0.00
1816;1818;338.02
1816;1820;30.21
1816;1826;620.90
1816;2274;488.45
1816;1834;509.83
1816;2599;400.65
1816;2301;184.10
1816;2310;41.28
1816;2311;265.45
1816;3052;126.70
1816;2316;426.28
1816;1881;265.86
1816;1904;407.05
1816;2329;407.82
1816;3513;470.45
1816;1887;254.48
1816;1889;384.26
1816;1907;315.03
1816;1908;328.65
1816;2351;238.46
1816;2356;250.86
1816;2358;650.71
1816;1940;111.97
1816;1923;250.31
1816;2368;276.85
1816;2369;188.71
1818;2217;505.00
1818;2228;432.64
1818;1777;241.98
1818;1781;180.69
1818;1807;49.84
1818;2244;422.80
1818;1836;317.33
1818;1791;327.51
1818;2263;364.94
1818;2204;471.60
1818;2267;207.16
1818;1808;371.84
1818;1816;338.02
1818;1818;0.00
1818;1820;362.17
1818;1826;313.49
1818;2274;474.52
1818;1834;462.04
1818;2599;229.33
1818;2301;251.21
1818;2310;364.29
1818;2311;185.65
1818;3052;283.25
1818;2316;459.61
1818;1881;354.04
1818;1904;284.61
1818;2329;159.82
1818;3513;358.43
1818;1887;224.54
1818;1889;57.29
1818;1907;448.34
1818;1908;36.40
1818;2351;465.00
1818;2356;262.05
1818;2358;367.24
1818;1940;228.75
1818;1923;341.14
1818;2368;170.85
1818;2369;298.33
1820;2217;525.07
1820;2228;544.09
1820;1777;377.26
1820;1781;279.17
1820;1807;313.53
1820;2244;169.41
1820;1836;193.67
1820;1791;142.84
1820;2263;127.51
1820;2204;152.78
1820;2267;538.32
1820;1808;96.91
1820;1816;30.21
1820;1818;362.17
1820;1820;0.00
1820;1826;638.53
1820;2274;481.15
1820;1834;505.10
1820;2599;410.33
1820;2301;188.97
1820;2310;14.29
1820;2311;295.55
1820;3052;128.88
1820;2316;416.22
1820;1881;257.57
1820;1904;412.27
1820;2329;423.40
1820;3513;472.56
1820;1887;261.39
1820;1889;406.60
1820;1907;298.69
1820;1908;350.85
1820;2351;214.52
1820;2356;253.37
1820;2358;665.36
1820;1940;133.82
1820;1923;242.95
1820;2368;289.21
1820;2369;216.83
1826;2217;491.13
1826;2228;364.54
1826;1777;313.91
1826;1781;492.16
1826;1807;347.66
1826;2244;634.88
1826;1836;514.99
1826;1791;635.49
1826;2263;592.52
1826;2204;705.82
1826;2267;106.48
1826;1808;671.48
1826;1816;620.90
1826;1818;313.49
1826;1820;638.53
1826;1826;0.00
1826;2274;486.19
1826;1834;446.66
1826;2599;269.50
1826;2301;470.39
1826;2310;636.13
1826;2311;494.51
1826;3052;525.66
1826;2316;520.16
1826;1881;510.42
1826;1904;315.79
1826;2329;218.21
1826;3513;336.93
1826;1887;403.81
1826;1889;256.34
1826;1907;590.52
1826;1908;304.61
1826;2351;662.24
1826;2356;433.48
1826;2358;80.40
1826;1940;509.84
1826;1923;507.00
1826;2368;357.11
1826;2369;611.77
2274;2217;43.99
2274;2228;141.84
2274;1777;234.88
2274;1781;581.03
2274;1807;449.36
2274;2244;349.35
2274;1836;289.11
2274;1791;585.55
2274;2263;359.00
2274;2204;428.56
2274;2267;454.28
2274;1808;570.40
2274;1816;488.45
2274;1818;474.52
2274;1820;481.15
2274;1826;486.19
2274;2274;0.00
2274;1834;48.83
2274;2599;261.75
2274;2301;322.30
2274;2310;468.90
2274;2311;596.60
2274;3052;366.15
2274;2316;76.69
2274;1881;223.59
2274;1904;199.37
2274;2329;350.43
2274;3513;150.06
2274;1887;281.46
2274;1889;457.44
2274;1907;217.90
2274;1908;438.13
2274;2351;338.10
2274;2356;259.26
2274;2358;448.44
2274;1940;437.54
2274;1923;238.38
2274;2368;315.16
2274;2369;624.24
1834;2217;46.36
1834;2228;93.71
1834;1777;220.06
1834;1781;581.64
1834;1807;441.51
1834;2244;383.63
1834;1836;311.47
1834;1791;601.11
1834;2263;387.05
1834;2204;464.42
1834;2267;422.25
1834;1808;591.00
1834;1816;509.83
1834;1818;462.04
1834;1820;505.10
1834;1826;446.66
1834;2274;48.83
1834;1834;0.00
1834;2599;239.77
1834;2301;335.82
1834;2310;493.55
1834;2311;596.41
1834;3052;384.77
1834;2316;120.48
1834;1881;249.87
1834;1904;178.96
1834;2329;327.27
1834;3513;116.35
1834;1887;285.98
1834;1889;439.51
1834;1907;258.17
1834;1908;425.81
1834;2351;376.70
1834;2356;269.55
1834;2358;404.91
1834;1940;449.43
1834;1923;262.96
1834;2368;311.67
1834;2369;634.35
2599;2217;285.07
2599;2228;203.42
2599;1777;44.42
2599;1781;377.49
2599;1807;219.99
2599;2244;371.98
2599;1836;253.98
2599;1791;453.92
2599;2263;337.14
2599;2204;447.75
2599;2267;205.01
2599;1808;468.89
2599;1816;400.65
2599;1818;229.33
2599;1820;410.33
2599;1826;269.50
2599;2274;261.75
2599;1834;239.77
2599;2599;0.00
2599;2301;223.87
2599;2310;404.17
2599;2311;389.13
2599;3052;284.19
2599;2316;270.37
2599;1881;241.42
2599;1904;62.39
2599;2329;88.69
2599;3513;129.81
2599;1887;150.90
2599;1889;200.47
2599;1907;321.62
2599;1908;194.51
2599;2351;395.30
2599;2356;172.00
2599;2358;269.10
2599;1940;302.40
2599;1923;239.11
2599;2368;126.72
2599;2369;461.50
2301;2217;364.31
2301;2228;361.18
2301;1777;188.67
2301;1781;278.33
2301;1807;204.29
2301;2244;175.00
2301;1836;67.63
2301;1791;265.35
2301;2263;123.61
2301;2204;237.00
2301;2267;378.72
2301;1808;260.90
2301;1816;184.10
2301;1818;251.21
2301;1820;188.97
2301;1826;470.39
2301;2274;322.30
2301;1834;335.82
2301;2599;223.87
2301;2301;0.00
2301;2310;181.51
2301;2311;295.76
2301;3052;60.62
2301;2316;273.05
2301;1881;122.35
2301;1904;223.47
2301;2329;252.27
2301;3513;286.63
2301;1887;73.14
2301;1889;274.96
2301;1907;209.64
2301;1908;224.42
2301;2351;214.46
2301;2356;67.91
2301;2358;486.89
2301;1940;115.39
2301;1923;105.75
2301;2368;113.51
2301;2369;302.42
2310;2217;512.86
2310;2228;534.06
2310;1777;370.15
2310;1781;287.92
2310;1807;315.23
2310;2244;155.13
2310;1836;182.36
2310;1791;156.49
2310;2263;113.87
2310;2204;140.66
2310;2267;536.81
2310;1808;111.14
2310;1816;41.28
2310;1818;364.29
2310;1820;14.29
2310;1826;636.13
2310;2274;468.90
2310;1834;493.55
2310;2599;404.17
2310;2301;181.51
2310;2310;0.00
2310;2311;304.57
2310;3052;120.98
2310;2316;403.36
2310;1881;245.32
2310;1904;404.21
2310;2329;420.08
2310;3513;463.25
2310;1887;254.39
2310;1889;407.34
2310;1907;284.76
2310;1908;351.59
2310;2351;200.35
2310;2356;244.64
2310;2358;661.32
2310;1940;135.53
2310;1923;230.98
2310;2368;284.59
2310;2369;229.63
2311;2217;633.98
2311;2228;587.64
2311;1777;386.30
2311;1781;17.97
2311;1807;171.61
2311;2244;424.10
2311;1836;358.23
2311;1791;194.15
2311;2263;362.85
2311;2204;441.32
2311;2267;389.52
2311;1808;256.67
2311;1816;265.45
2311;1818;185.65
2311;1820;295.55
2311;1826;494.51
2311;2274;596.60
2311;1834;596.41
2311;2599;389.13
2311;2301;295.76
2311;2310;304.57
2311;2311;0.00
2311;3052;288.85
2311;2316;561.07
2311;1881;418.09
2311;1904;432.44
2311;2329;337.74
2311;3513;509.20
2311;1887;315.83
2311;1889;241.91
2311;1907;502.82
2311;1908;207.98
2311;2351;472.72
2311;2356;343.55
2311;2358;552.21
2311;1940;199.70
2311;1923;401.49
2311;2368;285.05
2311;2369;133.83
3052;2217;409.36
3052;2228;417.21
3052;1777;249.28
3052;1781;270.89
3052;1807;233.81
3052;2244;142.81
3052;1836;80.46
3052;1791;220.40
3052;2263;82.38
3052;2204;189.66
3052;2267;430.78
3052;1808;206.51
3052;1816;126.70
3052;1818;283.25
3052;1820;128.88
3052;1826;525.66
3052;2274;366.15
3052;1834;384.77
3052;2599;284.19
3052;2301;60.62
3052;2310;120.98
3052;2311;288.85
3052;3052;0.00
3052;2316;308.95
3052;1881;148.71
3052;1904;283.42
3052;2329;307.60
3052;3513;344.36
3052;1887;133.71
3052;1889;315.62
3052;1907;218.90
3052;1908;261.76
3052;2351;189.05
3052;2356;124.78
3052;2358;545.34
3052;1940;90.22
3052;1923;131.88
3052;2368;169.12
3052;2369;269.13
2316;2217;117.78
2316;2228;205.75
2316;1777;234.05
2316;1781;544.54
2316;1807;427.73
2316;2244;275.86
2316;1836;229.11
2316;1791;529.28
2316;2263;291.02
2316;2204;353.73
2316;2267;473.51
2316;1808;508.44
2316;1816;426.28
2316;1818;459.61
2316;1820;416.22
2316;1826;520.16
2316;2274;76.69
2316;1834;120.48
2316;2599;270.37
2316;2301;273.05
2316;2310;403.36
2316;2311;561.07
2316;3052;308.95
2316;2316;0.00
2316;1881;160.97
2316;1904;210.84
2316;2329;356.62
2316;3513;187.82
2316;1887;247.10
2316;1889;451.76
2316;1907;141.57
2316;1908;423.77
2316;2351;262.10
2316;2356;217.54
2316;2358;492.38
2316;1940;387.67
2316;1923;177.34
2316;2368;291.26
2316;2369;574.42
1881;2217;267.54
1881;2228;302.19
1881;1777;197.12
1881;1781;400.67
1881;1807;312.10
1881;2244;143.92
1881;1836;68.36
1881;1791;368.63
1881;2263;137.23
1881;2204;225.90
1881;2267;435.21
1881;1808;348.02
1881;1816;265.86
1881;1818;354.04
1881;1820;257.57
1881;1826;510.42
1881;2274;223.59
1881;1834;249.87
1881;2599;241.42
1881;2301;122.35
1881;2310;245.32
1881;2311;418.09
1881;3052;148.71
1881;2316;160.97
1881;1881;0.00
1881;1904;208.31
1881;2329;304.53
1881;3513;242.62
1881;1887;130.79
1881;1889;364.41
1881;1907;94.38
1881;1908;322.01
1881;2351;156.37
1881;2356;92.76
1881;2358;507.68
1881;1940;231.78
1881;1923;17.13
1881;2368;187.70
1881;2369;416.70
1904;2217;223.66
1904;2228;155.42
1904;1777;46.18
1904;1781;419.33
1904;1807;268.66
1904;2244;348.15
1904;1836;236.70
1904;1791;474.48
1904;2263;322.57
1904;2204;427.79
1904;2267;262.67
1904;1808;481.05
1904;1816;407.05
1904;1818;284.61
1904;1820;412.27
1904;1826;315.79
1904;2274;199.37
1904;1834;178.96
1904;2599;62.39
1904;2301;223.47
1904;2310;404.21
1904;2311;432.44
1904;3052;283.42
1904;2316;210.84
1904;1881;208.31
1904;1904;0.00
1904;2329;151.08
1904;3513;76.76
1904;1887;153.02
1904;1889;260.58
1904;1907;277.72
1904;1908;248.73
1904;2351;364.68
1904;2356;160.35
1904;2358;302.11
1904;1940;319.53
1904;1923;210.13
1904;2368;152.18
1904;2369;491.56
2329;2217;372.96
2329;2228;281.65
2329;1777;123.00
2329;1781;329.14
2329;1807;167.04
2329;2244;419.49
2329;1836;299.70
2329;1791;438.22
2329;2263;374.88
2329;2204;488.35
2329;2267;130.96
2329;1808;465.34
2329;1816;407.82
